,question_number,model_answer,correct_answer
0,1,1,1
1,2,1,1
2,1,2,2
3,2,3,2
4,2,3,3
5,1,4,4
6,2,3,3
7,1,1,1
8,2,3,3
9,1,4,4
10,1,2,2
11,2,3,3
12,1,3,3
13,1,4,4
14,2,2,2
15,1,3,3
16,1,2,2
17,1,3,3
18,2,1,1
19,1,3,3
20,2,1,1
21,1,2,2
22,2,2,2
23,1,1,2
24,2,3,3
25,1,2,4
26,2,4,3
27,1,2,2
28,2,1,2
29,1,4,4
30,2,2,2
31,1,3,3
32,2,2,2
33,1,1,1
34,2,3,3
35,1,3,3
36,2,2,2
37,1,2,2
38,2,1,1
39,1,4,4
40,2,3,3
41,1,4,4
42,2,2,2
43,1,1,4
44,2,1,3
45,1,3,3
46,2,1,1
47,1,2,3
48,2,1,2
49,1,1,1
50,2,3,3
51,1,3,3
52,2,2,2
53,1,4,4
54,2,1,1
55,1,1,2
56,1,4,4
57,2,3,3
58,1,3,3
59,2,4,4
60,1,1,1
61,1,1,1
62,1,4,4
63,1,4,4
64,1,1,1
65,2,1,1
66,1,2,2
67,2,2,2
68,1,3,3
69,2,3,3
70,1,4,4
71,2,2,4
72,1,4,4
73,1,1,1
74,2,1,1
75,1,3,3
76,1,2,2
77,2,2,2
78,1,1,1
79,2,1,1
80,1,3,3
81,2,4,4
82,1,4,4
83,2,3,2
84,1,1,1
85,1,4,1
86,2,4,4
87,1,2,2
88,1,1,1
89,1,2,1
90,2,3,3
91,1,1,1
92,2,3,3
93,1,4,4
94,2,3,3
95,1,3,3
96,2,1,1
97,1,4,4
98,1,2,2
99,2,2,2
100,1,2,2
101,2,2,2
102,1,2,2
103,2,4,4
104,1,3,3
105,2,2,2
106,1,1,1
107,2,3,3
108,1,4,4
109,2,2,2
110,1,1,1
111,2,4,4
112,1,4,4
113,2,2,2
114,1,1,1
115,2,1,1
116,1,1,1
117,1,2,1
118,1,3,3
119,1,3,3
120,2,4,4
121,1,4,4
122,2,2,2
123,1,3,3
124,2,2,2
125,1,4,4
126,2,1,1
127,1,3,3
128,2,4,3
129,1,1,1
130,2,4,4
131,1,4,4
132,1,3,3
133,2,1,1
134,1,1,1
135,2,2,3
136,1,1,1
137,2,2,2
138,1,2,2
139,2,1,1
140,1,1,1
141,2,4,4
142,1,3,3
143,2,3,3
144,2,1,1
145,1,3,3
146,2,4,4
147,1,2,2
148,1,1,1
149,1,4,3
150,2,2,2
151,1,3,3
152,2,2,2
153,1,1,1
154,2,2,2
155,1,2,2
156,2,1,1
157,1,1,1
158,2,3,3
159,1,4,4
160,2,2,2
161,1,3,3
162,2,1,1
163,1,2,2
164,2,3,3
165,1,1,1
166,2,3,3
167,1,2,2
168,2,1,1
169,1,3,3
170,2,4,4
171,1,2,2
172,2,3,3
173,1,1,1
174,2,3,3
175,1,4,4
176,2,4,4
177,1,2,4
178,2,4,4
179,1,3,3
180,2,4,4
181,1,3,3
182,2,4,4
183,1,3,3
184,2,1,1
185,1,3,4
186,2,3,3
187,1,1,2
188,2,2,2
189,1,1,1
190,2,2,2
191,1,2,2
192,2,3,3
193,1,4,4
194,2,4,4
195,1,1,1
196,2,1,1
197,1,4,4
198,2,1,1
199,1,2,2
200,2,2,2
201,1,2,2
202,2,3,3
203,1,2,2
204,2,2,2
205,1,3,3
206,2,1,1
207,1,2,2
208,2,1,1
209,1,4,4
210,2,4,4
211,1,1,1
212,2,3,3
213,1,1,1
214,1,1,1
215,2,1,1
216,1,2,1
217,2,1,3
218,1,4,4
219,2,2,2
220,1,3,3
221,2,3,3
222,1,2,2
223,1,2,2
224,2,2,2
225,1,2,2
226,2,1,1
227,1,2,2
228,2,3,3
229,1,4,4
230,1,3,3
231,2,2,2
232,1,1,1
233,2,2,2
234,1,1,1
235,2,2,2
236,1,4,4
237,2,4,4
238,1,2,4
239,1,3,3
240,2,3,3
241,1,3,3
242,1,3,3
243,2,3,3
244,1,1,1
245,2,2,2
246,1,1,1
247,2,3,3
248,1,3,3
249,2,1,1
250,1,1,3
251,2,4,4
252,1,4,4
253,2,1,1
254,1,1,1
255,2,3,3
256,1,3,3
257,1,1,1
258,2,2,2
259,1,2,2
260,1,3,2
261,2,2,2
262,1,2,2
263,2,2,2
264,1,2,2
265,2,1,1
266,1,2,2
267,2,1,1
268,1,4,4
269,2,3,3
270,1,4,4
271,2,3,3
272,1,3,3
273,2,4,4
274,1,3,3
275,2,2,2
276,1,4,4
277,2,1,1
278,1,1,1
279,2,4,4
280,1,1,1
281,2,2,2
282,1,1,1
283,2,4,4
284,1,1,1
285,2,2,2
286,1,2,2
287,1,4,4
288,2,4,4
289,1,3,3
290,2,2,2
291,1,3,3
292,2,1,1
293,1,1,1
294,2,1,1
295,1,4,4
296,2,1,1
297,1,2,2
298,1,3,4
299,2,1,1
300,1,1,1
301,2,2,4
302,1,2,2
303,2,4,4
304,1,1,1
305,2,4,4
306,1,2,2
307,2,3,3
308,1,1,1
309,2,3,3
310,1,1,1
311,2,2,2
312,1,1,2
313,2,1,4
314,1,3,3
315,2,1,1
316,1,2,2
317,2,3,3
318,1,2,2
319,2,3,3
320,1,3,1
321,2,2,2
322,1,3,3
323,2,3,1
324,1,4,2
325,1,4,4
326,2,2,2
327,1,4,4
328,2,3,3
329,1,3,2
330,2,4,4
331,1,3,3
332,2,2,2
333,1,3,3
334,1,3,3
335,2,2,2
336,1,3,3
337,2,4,2
338,1,3,3
339,2,2,2
340,1,4,4
341,2,2,2
342,1,3,3
343,1,3,3
344,2,4,4
345,1,4,4
346,2,2,2
347,1,4,4
348,2,1,4
349,1,2,2
350,1,1,1
351,2,1,1
352,1,1,1
353,2,3,3
354,1,3,3
355,2,2,2
356,1,1,1
357,2,2,2
358,1,4,2
359,2,4,4
360,1,1,3
361,2,2,2
362,1,2,2
363,2,3,3
364,1,3,2
365,2,3,3
366,1,3,3
367,2,2,2
368,1,4,4
369,2,3,2
370,1,4,4
371,2,1,1
372,1,4,4
373,2,2,2
374,1,4,4
375,2,2,2
376,1,1,1
377,2,3,3
378,1,4,4
379,2,2,2
380,1,1,1
381,2,2,2
382,1,3,3
383,2,4,4
384,1,2,2
385,2,1,1
386,1,3,3
387,2,1,2
388,1,1,1
389,2,1,1
390,1,2,2
391,2,1,1
392,1,4,4
393,2,1,1
394,1,3,3
395,2,2,2
396,2,3,3
397,1,4,4
398,2,3,3
399,1,2,2
400,2,1,1
401,1,2,2
402,2,2,2
403,1,3,3
404,2,3,3
405,1,4,4
406,2,3,3
407,1,3,3
408,2,1,1
409,1,1,1
410,2,2,2
411,1,3,2
412,2,4,4
413,1,1,1
414,2,3,3
415,1,2,2
416,1,2,2
417,2,3,1
418,1,1,1
419,2,3,3
420,1,3,1
421,2,1,4
422,1,3,3
423,2,4,4
424,1,1,1
425,2,4,4
426,1,1,1
427,2,4,4
428,1,1,1
429,2,3,3
430,1,1,1
431,2,2,2
432,1,3,3
433,2,1,1
434,1,2,2
435,2,1,1
436,1,2,2
437,2,3,3
438,1,3,1
439,2,2,3
440,1,2,2
441,2,1,1
442,1,2,2
443,2,1,1
444,1,2,1
445,1,2,2
446,2,3,3
447,1,3,2
448,2,4,4
449,1,4,4
450,2,4,4
451,1,2,2
452,2,3,3
453,1,2,2
454,2,4,4
455,1,3,3
456,2,2,2
457,1,4,4
458,2,3,3
459,1,2,2
460,2,2,2
461,1,1,1
462,2,4,4
463,1,3,3
464,1,4,4
465,2,1,1
466,1,2,2
467,2,4,4
468,1,2,2
469,2,1,1
470,1,3,3
471,2,3,3
472,1,2,3
473,2,1,1
474,1,3,3
475,2,2,2
476,1,2,2
477,2,2,2
478,1,1,1
479,2,3,2
480,1,1,1
481,2,3,3
482,1,1,1
483,2,2,2
484,1,3,3
485,2,3,3
486,1,3,3
487,2,3,3
488,1,1,1
489,2,4,4
490,1,1,1
491,2,3,3
492,1,4,4
493,2,2,2
494,1,1,1
495,2,2,2
496,1,4,4
497,2,1,1
498,1,2,2
499,2,2,2
500,1,4,4
501,2,2,2
502,1,2,2
503,2,2,4
504,1,4,4
505,2,4,4
506,1,3,3
507,1,4,4
508,1,3,3
509,2,2,2
510,1,3,3
511,2,3,3
512,1,2,2
513,1,4,4
514,1,3,3
515,2,1,1
516,1,4,4
517,2,2,2
518,1,1,1
519,2,3,3
520,1,2,2
521,2,3,3
522,1,3,3
523,2,2,2
524,1,4,4
525,2,2,2
526,1,3,3
527,2,1,1
528,1,1,4
529,2,3,3
530,1,2,2
531,2,4,4
532,1,2,2
533,2,3,3
534,2,2,2
535,1,4,4
536,2,3,3
537,1,1,1
538,2,2,2
539,1,4,4
540,2,2,2
541,1,2,2
542,2,3,3
543,1,1,1
544,2,2,2
545,1,4,4
546,2,1,4
547,1,1,1
548,1,4,4
549,2,2,2
550,1,3,3
551,2,4,4
552,1,1,1
553,2,4,4
554,1,2,1
555,2,1,1
556,1,4,4
557,2,2,2
558,1,3,3
559,2,3,3
560,1,2,2
561,2,3,3
562,1,1,4
563,2,4,4
564,1,1,3
565,2,1,1
566,1,2,2
567,2,3,3
568,1,4,4
569,2,1,1
570,1,3,3
571,2,1,1
572,1,2,2
573,2,2,2
574,1,3,3
575,2,4,4
576,1,2,2
577,1,3,3
578,2,2,2
579,1,3,3
580,2,4,4
581,1,3,3
582,2,1,1
583,1,2,2
584,2,4,4
585,1,4,4
586,2,2,2
587,1,3,3
588,2,4,4
589,1,2,2
590,2,2,2
591,1,3,3
592,2,4,4
593,1,2,2
594,1,3,3
595,2,4,4
596,1,1,1
597,1,1,3
598,1,4,4
599,2,3,3
600,1,4,4
601,2,1,1
602,1,1,1
603,1,3,3
604,2,3,3
605,1,1,1
606,2,4,4
607,1,3,3
608,2,2,2
609,1,1,4
610,2,4,4
611,1,2,2
612,2,4,4
613,1,1,1
614,2,4,2
615,1,3,3
616,2,3,3
617,1,4,4
618,2,3,3
619,1,2,2
620,2,1,1
621,1,1,1
622,2,1,1
623,1,1,1
624,2,3,1
625,1,3,3
626,2,2,2
627,1,2,2
628,1,2,2
629,2,2,2
630,1,3,3
631,1,3,1
632,2,4,4
633,1,2,2
634,2,3,3
635,1,1,1
636,2,1,1
637,1,1,1
638,2,3,3
639,1,4,4
640,2,2,2
641,1,1,3
642,2,4,4
643,1,3,3
644,2,2,3
645,1,2,1
646,1,4,4
647,2,1,3
648,1,1,1
649,2,2,2
650,1,3,2
651,2,2,2
652,1,4,4
653,2,1,1
654,1,2,2
655,2,3,3
656,1,3,3
657,2,3,3
658,2,3,3
659,1,2,2
660,2,4,4
661,1,3,3
662,1,1,1
663,2,3,3
664,1,3,3
665,2,4,4
666,1,3,3
667,2,3,3
668,1,2,2
669,2,4,4
670,1,2,2
671,2,3,3
672,1,4,4
673,2,2,2
674,1,3,3
675,1,4,4
676,2,4,3
677,1,2,2
678,2,2,2
679,1,4,4
680,2,2,2
681,1,3,3
682,2,1,1
683,1,2,2
684,2,4,4
685,1,3,3
686,2,3,3
687,1,1,1
688,2,2,2
689,1,3,3
690,2,3,2
691,1,4,4
692,2,2,2
693,1,4,3
694,2,1,1
695,1,2,2
696,2,4,4
697,1,3,3
698,2,4,4
699,1,2,2
700,2,4,4
701,1,3,3
702,2,3,3
703,1,2,2
704,1,4,4
705,2,1,1
706,1,2,2
707,2,3,3
708,1,4,4
709,2,3,3
710,1,1,1
711,2,3,3
712,1,1,1
713,2,3,3
714,1,2,3
715,1,1,1
716,2,4,4
717,1,3,3
718,2,2,2
719,1,3,3
720,2,4,4
721,1,3,3
722,2,1,1
723,1,3,3
724,1,1,1
725,2,1,1
726,1,2,2
727,2,3,3
728,1,2,2
729,2,3,1
730,1,2,2
731,2,1,1
732,1,2,2
733,2,1,1
734,1,2,2
735,2,4,4
736,1,4,4
737,2,4,4
738,1,4,4
739,2,3,3
740,1,1,1
741,2,2,2
742,1,4,4
743,2,2,2
744,1,4,4
745,2,2,2
746,1,1,1
747,2,3,3
748,1,4,4
749,2,1,1
750,1,1,1
751,2,4,4
752,1,2,2
753,2,1,3
754,1,1,1
755,2,1,1
756,1,3,3
757,2,2,2
758,1,4,4
759,1,3,3
760,1,1,1
761,2,1,1
762,1,3,3
763,2,4,4
764,1,1,1
765,2,1,1
766,1,4,4
767,1,4,4
768,2,2,2
769,1,1,1
770,2,3,3
771,1,2,2
772,2,2,2
773,1,2,2
774,2,3,3
775,1,1,1
776,2,2,2
777,1,3,3
778,1,1,1
779,2,1,1
780,1,1,1
781,2,2,2
782,1,3,3
783,1,1,1
784,2,2,2
785,1,2,2
786,2,4,4
787,1,4,1
788,2,2,2
789,2,1,1
790,1,2,2
791,2,4,4
792,1,2,2
793,2,3,3
794,1,4,4
795,2,4,4
796,1,4,4
797,1,3,3
798,2,3,3
799,1,2,2
800,2,4,4
801,1,4,4
802,1,3,3
803,2,2,2
804,1,2,2
805,2,4,4
806,1,2,2
807,2,2,2
808,1,1,1
809,2,2,4
810,1,4,4
811,1,2,2
812,2,4,4
813,1,2,2
814,2,3,3
815,1,3,3
816,2,2,2
817,1,4,2
818,2,4,4
819,1,1,1
820,2,4,4
821,1,2,2
822,2,2,1
823,1,4,4
824,2,3,3
825,1,1,1
826,2,3,3
827,1,2,2
828,2,3,3
829,1,4,3
830,2,3,3
831,1,3,3
832,2,4,2
833,1,3,3
834,2,4,4
835,1,3,3
836,2,3,3
837,1,2,2
838,1,4,4
839,2,3,3
840,1,3,1
841,2,1,1
842,1,2,2
843,2,1,1
844,1,2,2
845,2,2,2
846,1,1,3
847,2,2,2
848,1,3,3
849,2,1,2
850,1,4,4
851,1,4,4
852,2,2,2
853,1,4,4
854,2,2,4
855,1,1,1
856,2,2,2
857,1,1,2
858,2,3,3
859,1,2,2
860,2,3,3
861,1,3,3
862,2,4,4
863,1,4,4
864,2,1,1
865,1,3,3
866,2,1,1
867,1,3,3
868,2,2,2
869,1,1,3
870,1,4,4
871,1,4,4
872,2,1,1
873,1,4,4
874,2,3,3
875,1,4,4
876,2,4,4
877,1,2,2
878,2,3,3
879,1,2,2
880,2,3,3
881,1,2,2
882,2,1,1
883,1,1,3
884,2,1,1
885,1,4,2
886,1,3,3
887,2,1,1
888,1,3,3
889,1,1,1
890,2,4,4
891,1,1,1
892,2,3,3
893,1,2,1
894,1,3,3
895,2,3,1
896,1,2,2
897,2,1,2
898,1,2,2
899,2,4,4
