,question_number,model_answer,correct_answer,model_reasoning
0,1.0,1.0,1.0,
1,2.0,1.0,1.0,
2,1.0,2.0,2.0,
3,2.0,4.0,2.0,
4,2.0,3.0,3.0,
5,1.0,4.0,4.0,
6,2.0,3.0,3.0,
7,1.0,1.0,1.0,
8,2.0,3.0,3.0,
9,1.0,4.0,4.0,
10,1.0,3.0,2.0,
11,2.0,3.0,3.0,
12,1.0,3.0,3.0,
13,1.0,4.0,4.0,
14,2.0,2.0,2.0,
15,1.0,3.0,3.0,
16,1.0,2.0,2.0,
17,1.0,3.0,3.0,
18,2.0,1.0,1.0,
19,1.0,3.0,3.0,
20,2.0,1.0,1.0,
21,1.0,2.0,2.0,
22,2.0,3.0,2.0,
23,1.0,1.0,2.0,
24,2.0,3.0,3.0,
25,1.0,4.0,4.0,
26,2.0,2.0,3.0,
27,1.0,2.0,2.0,
28,2.0,1.0,2.0,
29,1.0,4.0,4.0,
30,2.0,2.0,2.0,
31,1.0,3.0,3.0,
32,2.0,2.0,2.0,
33,1.0,1.0,1.0,
34,2.0,3.0,3.0,
35,1.0,3.0,3.0,
36,2.0,2.0,2.0,
37,1.0,2.0,2.0,
38,2.0,1.0,1.0,
39,1.0,4.0,4.0,
40,2.0,3.0,3.0,
41,1.0,4.0,4.0,
42,2.0,2.0,2.0,
43,1.0,4.0,4.0,
44,2.0,1.0,3.0,
45,1.0,3.0,3.0,
46,2.0,1.0,1.0,
47,1.0,3.0,3.0,
48,2.0,4.0,2.0,
49,1.0,1.0,1.0,
50,2.0,3.0,3.0,
51,1.0,3.0,3.0,
52,2.0,2.0,2.0,
53,1.0,4.0,4.0,
54,2.0,1.0,1.0,
55,1.0,2.0,2.0,
56,1.0,4.0,4.0,
57,2.0,3.0,3.0,
58,1.0,3.0,3.0,
59,2.0,4.0,4.0,
60,1.0,1.0,1.0,
61,1.0,1.0,1.0,
62,1.0,4.0,4.0,
63,1.0,4.0,4.0,
64,1.0,1.0,1.0,
65,2.0,1.0,1.0,
66,1.0,2.0,2.0,
67,2.0,2.0,2.0,
68,1.0,3.0,3.0,
69,2.0,3.0,3.0,
70,1.0,4.0,4.0,
71,2.0,4.0,4.0,
72,1.0,4.0,4.0,
73,1.0,1.0,1.0,
74,2.0,1.0,1.0,
75,1.0,3.0,3.0,
76,1.0,2.0,2.0,
77,2.0,2.0,2.0,
